기능장,"필기시험
원서접수
(휴일제외)",필기시험,"필기시험
합격예정자 발표","응시자격
서류제출/필기시험
합격자결정","실기시험
원서접수
(인터넷)
(휴일제외)",실기시험,"합격자
발표"
"2024년/
제75회","2024.01.02
- 2024.01.05,
빈자리접수
2024.01.15
- 2024.01.16",2024.01.21,2024.01.31,"2024.01.22
- 2024.02.13","2024.02.05
- 2024.02.08,
빈자리접수
2024.03.10
- 2024.03.11","2024.03.16
- 2024.04.04","2024.04.09
2024.04.17"
"2024년/
제76회","2024.05.28
- 2024.05.31,
빈자리접수
2024.06.10
- 2024.06.11",2024.06.16,2024.06.26,"2024.06.17
- 2024.07.05","2024.07.16
- 2024.07.19,
빈자리접수
2024.08.11
- 2024.08.12","2024.08.17
- 2024.09.03","2024.09.11
2024.09.25"
