기술사,"필기시험
원서접수
(휴일제외)",필기시험,"필기시험
합격예정자 발표","응시자격
서류제출/필기시험
합격자결정","면접시험
원서접수
(인터넷)
(휴일제외)",면접시험,"합격자
발표"
"2024년/
제132회","2024.01.02
- 2024.01.05,
빈자리접수
2024.01.21
- 2024.01.22(휴일제외)",2024.01.27,2024.02.28,"2024.01.29
- 2024.03.11","2024.03.05
- 2024.03.08,
빈자리접수
2024.03.25
- 2024.03.26(휴일제외)","2024.04.01
- 2024.04.13",2024.04.30
"2024년/
제133회","2024.04.16
- 2024.04.19,
빈자리접수
2024.05.12
- 2024.05.13(휴일제외)",2024.05.18,2024.06.19,"2024.05.13
- 2024.06.28","2024.05.28
- 2024.05.31,
2024.06.25
- 2024.06.28(휴일제외)","2024.07.20
- 2024.08.02",2024.08.21
"2024년/
제134회","2024.07.02
- 2024.07.05",2024.07.27,2024.09.04,"2024.07.08
- 2024.09.13","2024.08.12
- 2024.08.16,
2024.09.10
- 2024.09.13(휴일제외)","2024.10.26
- 2024.11.06",2024.12.04
